OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,PovertyPer
12,37,075,920100,37075920100,9201,Census Tract 9201,G5020,S,338391041.000000000000000,17011413.000000000000000,+35.3959955,-083.7941810,0.067965367965400
13,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853.000000000000000,2458723.000000000000000,+35.3117331,-083.7276987,0.087378640776700
14,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135.000000000000000,5587640.000000000000000,+35.2702395,-083.9567917,0.199391592920000
729,37,039,930300,37039930300,9303,Census Tract 9303,G5020,S,354888938.000000000000000,12134604.000000000000000,+35.1884670,-084.1095902,0.127091813659000
730,37,039,930200,37039930200,9302,Census Tract 9302,G5020,S,101577788.000000000000000,0.000000000000000,+35.1843905,-083.8964523,0.070054446461000
766,37,039,930603,37039930603,9306.03,Census Tract 9306.03,G5020,S,124067477.000000000000000,13597769.000000000000000,+35.1040991,-084.1844493,0.222546728972000
767,37,039,930102,37039930102,9301.02,Census Tract 9301.02,G5020,S,124808859.000000000000000,0.000000000000000,+35.2082601,-083.7809237,0.134887593672000
768,37,039,930402,37039930402,9304.02,Census Tract 9304.02,G5020,S,46853184.000000000000000,637310.000000000000000,+35.1628608,-083.9837542,0.230188679245000
769,37,039,930401,37039930401,9304.01,Census Tract 9304.01,G5020,S,93898660.000000000000000,168421.000000000000000,+35.1178055,-083.9475405,0.283032490975000
770,37,039,930502,37039930502,9305.02,Census Tract 9305.02,G5020,S,56693653.000000000000000,1578717.000000000000000,+35.0392653,-084.0466021,0.138857466063000
771,37,039,930604,37039930604,9306.04,Census Tract 9306.04,G5020,S,27717772.000000000000000,573094.000000000000000,+35.0187683,-084.0969495,0.173469387755000
772,37,039,930101,37039930101,9301.01,Census Tract 9301.01,G5020,S,11667281.000000000000000,0.000000000000000,+35.1895973,-083.8270117,0.052652978247600
773,37,039,930501,37039930501,9305.01,Census Tract 9305.01,G5020,S,47712811.000000000000000,115052.000000000000000,+35.0344754,-083.9938475,0.302076970067000
774,37,039,930605,37039930605,9306.05,Census Tract 9306.05,G5020,S,61917006.000000000000000,0.000000000000000,+35.0065044,-084.2190990,0.131682611142000
775,37,039,930606,37039930606,9306.06,Census Tract 9306.06,G5020,S,128042184.000000000000000,8518.000000000000000,+35.0645601,-084.2480484,0.104815864023000
1491,37,043,950101,37043950101,9501.01,Census Tract 9501.01,G5020,S,141191002.000000000000000,11217487.000000000000000,+35.0143215,-083.6527575,0.057410423452800
1492,37,043,950102,37043950102,9501.02,Census Tract 9501.02,G5020,S,283409254.000000000000000,653503.000000000000000,+35.1206915,-083.7653452,0.102470930233000
1493,37,043,950202,37043950202,9502.02,Census Tract 9502.02,G5020,S,81337026.000000000000000,147637.000000000000000,+35.0348741,-083.9210014,0.177935943060000
1494,37,043,950201,37043950201,9502.01,Census Tract 9502.01,G5020,S,50867221.000000000000000,2999128.000000000000000,+35.0114190,-083.8457485,0.248085339168000
