County Name,Code
Anderson,1
Bedford,3
Benton,5
Bledsoe,7
Blount,9
Bradley,11
Campbell,13
Cannon,15
Carroll,17
Carter,19
Cheatham,21
Chester,23
Claiborne,25
Clay,27
Cocke,29
Coffee,31
Crockett,33
Cumberland,35
Davidson,37
Decatur,39
DeKalb,41
Dickson,43
Dyer,45
Fayette,47
Fentress,49
Franklin,51
Gibson,53
Giles,55
Grainger,57
Greene,59
Grundy,61
Hamblen,63
Hamilton,65
Hancock,67
Hardeman,69
Hardin,71
Hawkins,73
Haywood,75
Henderson,77
Henry,79
Hickman,81
Houston,83
Humphreys,85
Jackson,87
Jefferson,89
Johnson,91
Knox,93
Lake,95
Lauderdale,97
Lawrence,99
Lewis,101
Lincoln,103
Loudon,105
McMinn,107
McNairy,109
Macon,111
Madison,113
Marion,115
Marshall,117
Maury,119
Meigs,121
Monroe,123
Montgomery,125
Moore,127
Morgan,129
Obion,131
Overton,133
Perry,135
Pickett,137
Polk,139
Putnam,141
Rhea,143
Roane,145
Robertson,147
Rutherford,149
Scott,151
Sequatchie,153
Sevier,155
Shelby,157
Smith,159
Stewart,161
Sullivan,163
Sumner,165
Tipton,167
Trousdale,169
Unicoi,171
Union,173
Van Buren,175
Warren,177
Washington,179
Wayne,181
Weakley,183
White,185
Williamson,187
Wilson,189
